"cpv_puhas";"eeldatav_maksumus_puhas";"lepingu_maksumus_puhas";"tegelik_maksumus_puhas";"kestvus_kuudes"
"75112100-5";NA;266666.66;266666.66;10
"71241000-9";12500;12400;12400;3
"31122000-7";NA;NA;NA;6
"09130000-9";22430000;22430351;NA;36
"72262000-9";39999;39999;28070;22
"73110000-6";NA;25250;25250;5
"90713100-9";NA;97600;NA;17
"79311200-9";NA;34583;34583;7
"85311300-5";NA;61782.7;28885.64;10
"73210000-7";NA;58400;47600;8
"72262000-9";NA;9920;NA;1
"92622000-7";NA;65000;65000;9
"71241000-9";36500;22900;22900;7
"33651300-1";NA;126336.87;126336.87;12
"73110000-6";NA;34000;34000;7
"73210000-7";14166.67;14166.67;14166.67;14
"66510000-8";NA;77277.26;76069.98;11
"72262000-9";NA;NA;NA;12
"34111200-0";NA;18899.52;NA;48
"79311200-9";NA;16400;16400;5
"73112000-0";91600;NA;NA;7
"34111200-0";NA;307951.48;NA;60
"72262000-9";NA;16920;15480;9
"32424000-1";NA;140349.4;124957.83;3
"73110000-6";20833;24640;24640;3
"55320000-9";NA;90016.5;94505.44;1
"72262000-9";NA;NA;NA;8
"45210000-2";NA;2874992;NA;12
"71241000-9";39000;34400;34400;4
"79100000-5";NA;22404.8;22555.1;18
"80400000-8";NA;32775.5;32640.6;5
"48326000-9";NA;89900.1;89900.1;24
"79800000-2";NA;8676;8439;2
"72200000-7";NA;NA;NA;30
"39290000-1";NA;NA;NA;4
"72262000-9";NA;8440;NA;2
"34110000-1";26000;25956;NA;84
"72262000-9";NA;NA;NA;9
"73110000-6";2e+05;166000;166000;26
"71200000-0";NA;27970;27970;6
"72260000-5";NA;92120;NA;48
"79100000-5";47000;47000;47000;8
"39516000-2";NA;44053.79;44053.79;1
"80533000-9";NA;26400;26400;12
"72250000-2";NA;39945;39945;12
"72262000-9";NA;20040;NA;3
"85111500-5";NA;1883183;2083343;12
"60410000-5";NA;NA;NA;37
"79300000-7";NA;24950;24950;6
"72262000-9";NA;18540;NA;36
"85312300-2";NA;99580;99580;12
"33651600-4";NA;566820;NA;13
NA;NA;NA;NA;NA
"50334140-8";NA;15260;15260;12
"63516000-9";NA;550000;2065304.37;24
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
"35120000-1";NA;639055;NA;53
"90911100-7";NA;46244.16;41157.43;12
"60610000-7";1e+05;1e+05;NA;36
"45222200-1";NA;379705.35;379648.68;8
"79311200-9";NA;79000;79000;3
NA;NA;NA;NA;NA
"71520000-9";NA;116964;NA;35
"72253200-5";NA;21522.67;21522.67;24
"90919200-4";NA;135972;NA;36
"70332000-7";NA;169642;156199.2;24
"30200000-1";NA;15735.08;18122.24;12
"72262000-9";NA;81000;81000;7
"39200000-4";NA;22470;22470;2
"30213100-6";NA;27257;27257;1
"34110000-1";840000;768449.5;NA;48
"30213300-8";NA;34650;34650;1
"72262000-9";39999;39999;21835;12
"39120000-9";NA;18585.86;20063.83;2
"64212000-5";NA;80000;88749.78;24
"90510000-5";NA;754157;775599.43;12
NA;NA;NA;NA;NA
"45312200-9";NA;1305036.19;1248630.66;6
"79315000-5";NA;18668;18668;2
"79320000-3";NA;24500;24500;4
"72250000-2";120000;114011.71;114000;24
"45315300-1";NA;17732;17241;2
"72262000-9";62500;62500;NA;36
NA;NA;NA;NA;NA
"30197600-2";NA;26884;39112;24
"73200000-4";NA;9182.4;9182.4;13
"73200000-4";NA;20150;20150;13
"90711200-6";NA;19800;19800;5
"79310000-0";NA;6450;6450;1
"72250000-2";12000;9599;9599;1
"79952000-2";NA;67028;61029;7
"72414000-5";39900;39900;22117.41;24
NA;NA;NA;NA;NA
"66512200-4";NA;85637.43;87350.9;12
"30200000-1";NA;54994;54994;0
"34111100-9";NA;43324.5;NA;60
"85312320-8";NA;736000;NA;49
"30200000-1";NA;NA;NA;12
"79970000-4";NA;266100;NA;36
"71242000-6";NA;54725;54725;6
NA;NA;NA;NA;NA
"80400000-8";25000;24600;24600;4
"71251000-2";NA;62568;NA;24
"72253200-5";NA;39950;39948.65;12
"73110000-6";19166.67;23000;23000;3
"79212000-3";3760;3760;3760;7
"64210000-1";NA;280000;80030.26;24
"39157000-7";NA;9002;9002;1
"45111000-8";NA;154747;136290.36;2
"79315000-5";NA;10400;10400;3
"79212000-3";NA;33300;33300;6
NA;NA;NA;NA;NA
"39111100-4";NA;17965;17965;1
"72261000-2";NA;15885;15885;11
"48620000-0";NA;24489;24489;12
"30233132-5";NA;29798.66;29798.67;1
"33651400-2";NA;7979094.48;NA;19
"30233132-5";NA;11245;11245;0
"72250000-2";NA;131040;131040;12
"79212000-3";2144;2144;2144;8
"45210000-2";NA;13266.66;13266.66;1
"79212000-3";3340;3340;3340;8
"79315000-5";NA;8000;8000;4
"71240000-2";NA;25700;25700;5
"79212000-3";2144;2144;2144;8
"79212000-3";NA;2144;2144;8
"79212000-3";NA;NA;NA;8
"79212000-3";NA;18975.06;18245.25;36
"45453100-8";NA;56329;56329;2
"79310000-0";NA;8160;8160;4
"72200000-7";NA;5968182;NA;48
"32531000-4";NA;137000;137000;2
"30233131-8";NA;24950;24950;1
"80400000-8";NA;14100;14100;8
"72260000-5";NA;28490;21360;24
"50117000-8";NA;12900;12900;2
"79418000-7";16666;8820;8820;1
"33760000-5";NA;12500;NA;36
"60410000-5";NA;NA;NA;38
"45200000-9";NA;231414.69;231414.69;4
"79341400-0";125000;124742.65;124742.65;2
"72262000-9";35000;28000;28740;12
"30233000-1";NA;58079.57;58079.57;2
"73110000-6";38000;28850;28850;8
"72260000-5";NA;NA;NA;24
"32422000-7";NA;27895;27895;2
"71332000-4";60000;49800;49800;10
"72253200-5";15000;13330.18;13330.18;1
NA;NA;NA;NA;NA
"48311100-2";40000;38850;38850;1
"45222200-1";NA;NA;NA;8
"73200000-4";NA;11510;11510;4
"30190000-7";NA;16600;16645.45;12
"80330000-6";20000;20000;20000;9
"72262000-9";NA;24000;24000;3
"80400000-8";NA;16003.41;16003.34;8
"79311200-9";NA;16000;16000;6
"45200000-9";NA;606395.1;606395.1;4
"79315000-5";NA;19500;19500;3
"92111260-2";NA;NA;NA;2
NA;NA;NA;NA;NA
"71241000-9";18000;17250;17250;2
NA;NA;NA;NA;NA
"22850000-3";NA;80566.4;NA;31
"45200000-9";NA;NA;NA;4
"45110000-1";NA;224000;218500;5
"73110000-6";NA;28931.8;28931.8;6
"73200000-4";10000;NA;NA;2
"79810000-5";NA;11275.1;11229.51;2
"72200000-7";NA;28870;28870;6
"34115000-6";NA;99645.6;NA;60
"79340000-9";18000;15833.5;15121.08;14
"72266000-7";NA;22800;22800;16
"64210000-1";2e+05;2e+05;137324;26
"48900000-7";NA;32090;NA;38
"48510000-6";NA;39000;NA;36
"45332200-5";NA;90200;102046;30
"33651600-4";NA;2083946.25;NA;27
"79810000-5";NA;NA;NA;2
"73110000-6";NA;159382;159382;20
"79311200-9";NA;16700;16700;4
"71355000-1";50880;41480;41480;12
"42415110-2";NA;351000;NA;5
"48218000-9";NA;34200;29250;24
"45332200-5";NA;NA;NA;30
"64110000-0";NA;136770;136176.15;2
"73100000-3";30000;29780;29780;3
"72200000-7";NA;NA;NA;6
"72200000-7";NA;30000;25190;6
"73110000-6";NA;37000;37000;6
"32424000-1";NA;200325.34;240390.41;3
"79311200-9";37440;19880;19880;14
"71320000-7";NA;6020;6020;3
"45332200-5";NA;NA;NA;30
